,Unnamed: 0,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
0,192607,-99.99,-0.43,1.52,2.68,-0.57,0.59,1.6,1.47,3.33,-1.45,0.29,-0.15,1.33,1.24,1.98,1.55,1.38,3.38,3.29
1,192608,-99.99,3.9,3.04,2.09,3.84,3.59,3.71,1.61,2.33,5.12,2.59,4.03,3.15,2.72,4.72,1.6,1.63,0.98,3.7
2,192609,-99.99,-1.08,-0.54,0.16,-0.48,-1.4,0.0,-0.5,-0.09,0.93,-1.87,-2.27,-0.53,0.07,-0.07,-1.64,0.64,-0.86,0.67
3,192610,-99.99,-3.32,-3.52,-3.06,-3.29,-4.1,-2.89,-3.36,-2.95,-4.84,-1.77,-3.36,-4.83,-2.98,-2.8,-3.45,-3.27,-3.47,-2.43
4,192611,-99.99,-0.46,3.82,3.09,-0.55,2.18,3.41,3.39,3.16,-0.78,-0.32,-0.29,4.65,3.24,3.57,3.82,2.95,3.61,2.7
5,192612,-99.99,2.54,1.69,3.25,1.19,3.78,1.32,2.63,3.14,-2.66,4.96,5.25,2.31,1.35,1.28,1.82,3.45,3.27,3.01
6,192701,-99.99,1.86,1.32,0.23,2.61,1.26,0.74,1.22,-0.08,4.53,0.77,0.34,2.18,-0.64,2.15,1.61,0.83,0.27,-0.43
7,192702,-99.99,6.45,6.62,4.17,7.03,5.68,6.83,5.34,4.28,6.85,7.19,5.31,6.05,5.63,8.06,6.75,3.94,4.91,3.65
8,192703,-99.99,-3.06,-1.93,-0.61,-3.7,-1.52,-3.26,-1.09,0.19,-5.91,-1.65,-1.79,-1.24,-3.14,-3.39,0.02,-2.19,-0.46,0.85
9,192704,-99.99,3.48,-0.15,0.05,4.85,0.02,0.11,-0.16,0.14,4.67,5.01,0.68,-0.62,0.43,-0.23,-0.2,-0.12,-0.61,0.9
10,192705,-99.99,6.75,6.81,5.67,7.21,6.77,6.58,6.22,5.48,5.31,8.96,5.79,7.71,6.07,7.11,6.39,6.05,5.7,5.25
11,192706,-99.99,-2.45,-1.18,-2.9,-3.55,-0.31,-1.43,-2.18,-2.86,-2.01,-4.98,-0.14,-0.47,-2.58,-0.25,-1.4,-2.97,-3.59,-2.14
12,192707,-99.99,5.95,5.03,6.8,6.68,5.12,4.39,5.92,7.08,8.04,5.31,4.52,5.74,3.18,5.62,5.62,6.22,6.3,7.85
13,192708,-99.99,-0.61,0.2,1.67,-0.61,-0.05,-0.23,1.2,1.66,-0.88,-0.34,-0.62,0.53,-1.24,0.81,0.71,1.7,1.62,1.71
14,192709,-99.99,0.59,3.57,4.89,0.06,2.15,3.06,5.02,5.02,-0.71,0.81,1.61,2.7,1.75,4.39,5.43,4.61,4.7,5.34
15,192710,-99.99,-5.25,-2.45,-3.86,-6.51,-2.26,-2.87,-2.93,-4.01,-5.55,-7.46,-2.78,-1.73,-3.01,-2.72,-2.33,-3.55,-4.27,-3.76
16,192711,-99.99,16.07,7.52,7.18,16.89,10.36,7.91,8.01,6.81,22.42,11.68,14.51,6.14,7.7,8.12,8.13,7.9,7.07,6.56
17,192712,-99.99,3.1,2.77,3.52,3.74,1.98,3.88,2.67,3.23,4.49,3.05,1.9,2.07,3.12,4.63,1.28,4.08,5.73,0.73
18,192801,-99.99,8.39,2.08,-0.21,10.93,2.84,2.15,1.14,-0.46,16.79,5.51,3.57,2.07,2.87,1.45,1.95,0.31,0.23,-1.16
19,192802,-99.99,-1.8,-2.93,-2.13,-1.27,-3.17,-2.83,-2.85,-1.61,-1.55,-1.02,-2.79,-3.55,-3.75,-1.93,-2.52,-3.18,-2.0,-1.22
20,192803,-99.99,6.24,6.79,8.2,4.81,7.7,7.66,8.16,6.83,5.85,3.86,8.92,6.44,8.36,6.97,5.45,10.98,6.88,6.79
21,192804,-99.99,15.23,6.64,4.27,18.26,8.25,6.17,5.83,4.22,27.75,9.47,9.51,6.95,7.44,4.92,7.25,4.35,4.86,3.59
22,192805,-99.99,9.67,1.59,1.1,11.04,4.31,1.87,1.01,1.23,12.32,9.86,7.07,1.45,1.42,2.31,1.2,0.82,1.6,0.87
23,192806,-99.99,-9.26,-6.53,-4.61,-9.9,-7.36,-6.8,-5.72,-4.18,-9.65,-10.12,-8.07,-6.63,-7.95,-5.68,-5.92,-5.5,-4.22,-4.14
24,192807,-99.99,-0.87,0.52,1.14,-0.52,-1.29,1.05,0.85,1.37,-2.72,1.68,-1.57,-1.01,0.75,1.36,1.02,0.69,1.57,1.17
25,192808,-99.99,3.22,6.61,7.51,3.37,4.61,6.19,8.13,7.02,2.81,3.93,2.94,6.28,4.99,7.43,7.78,8.49,6.39,7.65
26,192809,-99.99,5.82,5.38,4.07,6.42,5.3,5.31,5.11,3.46,8.63,4.22,4.62,5.98,4.23,6.43,4.93,5.29,4.58,2.34
27,192810,-99.99,1.85,1.84,0.95,2.07,1.91,2.14,0.02,1.77,2.24,1.9,1.43,2.38,3.23,1.01,0.71,-0.67,1.67,1.87
28,192811,-99.99,12.55,11.13,11.46,14.39,8.24,12.73,10.66,12.32,13.15,15.63,8.94,7.53,11.22,14.29,11.58,9.75,9.98,14.62
29,192812,-99.99,-2.62,0.5,0.93,-3.1,-1.18,0.55,1.48,0.72,-2.31,-3.88,-1.68,-0.68,-0.02,1.13,1.61,1.35,0.97,0.47
30,192901,-99.99,3.08,2.36,5.14,4.5,1.5,1.54,3.87,5.63,6.36,2.67,0.26,2.73,1.28,1.8,3.58,4.16,6.34,4.93
31,192902,-99.99,0.25,1.24,-0.15,-0.22,1.3,0.59,1.24,-0.31,1.19,-1.6,1.19,1.42,-0.45,1.63,2.31,0.16,-0.46,-0.15
32,192903,-99.99,-3.6,-4.49,-0.57,-3.79,-4.32,-4.33,-2.95,0.14,-4.14,-3.44,-3.22,-5.42,-3.85,-4.8,-3.88,-2.0,-0.04,0.32
33,192904,-99.99,0.71,2.32,0.91,2.09,0.28,1.84,1.4,1.47,5.03,-0.79,-2.02,2.59,2.03,1.66,2.99,-0.22,1.21,1.72
34,192905,-99.99,-13.78,-8.69,-4.33,-13.36,-12.39,-8.29,-7.01,-3.51,-11.89,-14.8,-14.61,-10.18,-8.23,-8.35,-7.98,-6.01,-3.59,-3.43
35,192906,-99.99,5.81,8.16,9.44,5.43,6.26,8.17,9.71,9.61,4.14,6.7,6.58,5.95,8.52,7.82,10.31,9.1,10.17,9.06
36,192907,-99.99,-0.55,2.26,3.96,-1.3,1.65,1.98,2.49,4.83,-1.99,-0.62,0.99,2.31,1.85,2.1,2.78,2.2,5.11,4.55
37,192908,-99.99,-0.79,1.98,7.16,-2.13,1.46,1.7,3.7,8.79,-2.29,-1.97,1.94,0.99,0.52,2.86,3.54,3.86,7.74,9.8
38,192909,-99.99,-5.99,-3.73,-3.63,-6.57,-4.46,-3.31,-3.24,-4.3,-5.22,-7.91,-4.83,-4.1,-3.36,-3.27,-4.2,-2.28,-3.48,-5.08
39,192910,-99.99,-20.67,-20.49,-19.31,-19.74,-20.23,-20.67,-21.98,-18.34,-19.21,-20.29,-22.61,-17.97,-21.69,-19.64,-22.7,-21.26,-18.94,-17.75
40,192911,-99.99,-12.91,-12.94,-11.56,-12.52,-13.15,-12.88,-12.17,-11.87,-11.33,-13.76,-13.72,-12.61,-12.94,-12.81,-13.39,-10.94,-11.81,-11.94
41,192912,-99.99,-8.64,-1.26,1.5,-9.14,-5.23,-1.45,-0.68,3.35,-12.05,-6.18,-7.63,-2.94,-0.78,-2.13,0.88,-2.2,4.52,2.22
42,193001,-99.99,16.54,10.11,5.68,17.91,12.29,10.45,8.2,4.56,17.76,18.06,13.7,10.96,9.74,11.15,8.51,7.91,5.08,4.06
43,193002,-99.99,4.29,2.67,3.1,4.35,3.88,2.93,2.24,3.0,5.06,3.64,4.16,3.62,2.67,3.19,1.17,3.29,2.99,3.02
44,193003,-99.99,14.91,9.32,7.3,15.43,10.5,10.63,9.27,6.05,18.17,12.65,13.85,7.35,12.99,8.27,8.73,9.78,6.21,5.9
45,193004,-99.99,-5.74,-5.01,-3.55,-8.21,-3.8,-4.05,-4.86,-3.09,-9.44,-6.95,-0.78,-6.64,-2.47,-5.62,-5.26,-4.47,-5.57,-0.69
46,193005,-99.99,-7.33,-3.07,-1.49,-7.74,-4.68,-2.66,-3.22,-1.02,-10.6,-4.83,-6.51,-2.97,-2.53,-2.79,-4.03,-2.46,-1.26,-0.78
47,193006,-99.99,-19.69,-18.51,-16.69,-19.52,-19.97,-17.69,-18.42,-15.95,-19.75,-19.3,-20.02,-19.93,-17.87,-17.51,-18.67,-18.19,-16.98,-14.96
48,193007,-99.99,2.17,4.62,4.19,2.14,3.47,5.03,3.7,4.45,1.61,2.68,2.24,4.7,5.05,5.01,3.71,3.68,4.98,3.93
49,193008,-99.99,-4.07,-1.55,-0.11,-4.58,-2.07,-1.98,-0.47,-0.3,-5.31,-3.86,-3.07,-1.06,-3.22,-0.72,-1.19,0.26,-0.81,0.19
50,193009,-99.99,-17.92,-15.0,-12.57,-17.91,-16.34,-14.65,-13.88,-12.93,-13.93,-21.9,-17.93,-14.78,-14.48,-14.82,-15.91,-11.86,-14.17,-11.73
51,193010,-99.99,-9.48,-10.16,-9.95,-8.79,-10.77,-10.49,-9.55,-9.86,-6.89,-10.65,-10.87,-10.67,-9.59,-11.41,-8.98,-10.12,-11.42,-8.34
52,193011,-99.99,-2.64,-1.96,-2.39,-3.13,-2.17,-1.1,-2.35,-2.75,-4.63,-1.71,-1.68,-2.64,-0.62,-1.59,-3.02,-1.7,-2.92,-2.58
53,193012,-99.99,-19.58,-12.95,-9.55,-20.07,-17.98,-11.38,-10.65,-9.5,-22.4,-17.87,-18.64,-17.33,-11.57,-11.19,-11.67,-9.65,-11.49,-7.57
54,193101,-99.99,22.31,12.44,8.68,23.07,18.61,12.44,8.28,8.98,25.81,20.57,20.85,16.38,12.23,12.65,8.48,8.08,11.32,6.71
55,193102,-99.99,22.43,13.93,11.58,24.67,15.31,14.52,12.07,12.42,23.06,26.09,18.21,12.41,14.11,14.93,14.26,9.91,13.72,11.17
56,193103,-99.99,-4.49,-6.58,-7.61,-4.69,-4.56,-6.44,-8.04,-7.6,-0.77,-8.09,-4.14,-4.99,-5.95,-6.94,-8.45,-7.62,-9.28,-5.97
57,193104,-99.99,-18.33,-15.67,-11.97,-18.95,-17.27,-15.08,-13.81,-11.7,-18.59,-19.27,-17.18,-17.37,-14.75,-15.42,-15.14,-12.49,-13.22,-10.23
58,193105,-99.99,-13.37,-13.82,-15.73,-14.97,-11.42,-13.74,-16.06,-15.23,-13.01,-16.67,-10.41,-12.42,-12.78,-14.71,-15.38,-16.73,-17.42,-13.1
59,193106,-99.99,19.95,16.66,18.97,21.71,15.53,16.96,19.97,17.68,24.01,19.74,16.74,14.32,17.11,16.82,18.38,21.56,19.46,15.95
60,193107,-99.99,-5.87,-7.48,-7.05,-6.04,-6.17,-8.52,-6.33,-7.28,-3.77,-8.24,-5.53,-6.81,-8.71,-8.32,-6.07,-6.6,-7.25,-7.31
61,193108,-99.99,-4.89,-1.38,0.58,-5.61,-1.76,-2.14,0.2,0.09,-6.67,-4.59,-3.46,-0.07,-3.08,-1.2,-1.17,1.56,-0.43,0.62
62,193109,-99.99,-29.88,-30.99,-30.51,-29.22,-31.47,-32.13,-29.31,-30.4,-25.26,-33.02,-31.17,-31.77,-31.44,-32.83,-27.89,-30.73,-32.31,-28.43
63,193110,-99.99,8.85,11.32,8.93,8.79,10.94,11.26,10.01,8.32,5.94,11.48,8.97,12.9,10.25,12.26,9.85,10.17,8.85,7.79
