,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
1926-07,0.005600000000000001,-0.0519,0.0129,0.029300000000000003,0.1097,-0.0048,0.0808,0.0177,0.0814,0.0039000000000000003,0.0207,0.0407,0.054299999999999994,0.0318,0.16390000000000002,0.0102,0.0564,0.0154,-0.013999999999999999,0.0704,0.0083,0.0922,0.0206,0.077,0.019299999999999998,-0.2379,0.0007000000000000001,0.0187,0.0037,0.052000000000000005
1926-08,0.0259,0.2703,0.065,0.0055000000000000005,0.1001,-0.0358,-0.025099999999999997,0.0425,0.055,0.0814,0.0472,0.0217,0.0206,0.021,0.042300000000000004,0.0166,0.0055000000000000005,0.0085,0.0369,-0.0169,0.0217,0.0202,0.043899999999999995,-0.023799999999999998,0.048799999999999996,0.053899999999999997,-0.0075,-0.0013,0.0446,0.0676
1926-09,0.0116,0.04019999999999999,0.0126,0.0658,-0.009899999999999999,0.0073,-0.0051,0.0069,0.0533,0.0231,-0.005,0.0015,0.0036,-0.005600000000000001,0.0483,0.0273,0.0174,0.003,-0.0369,0.0204,0.0241,0.0225,0.0019,-0.0554,0.0005,-0.0787,0.0025,-0.005600000000000001,-0.0123,-0.038599999999999995
1926-10,-0.030600000000000002,-0.0331,0.0106,-0.047599999999999996,0.0947,-0.046799999999999994,0.0012,-0.005699999999999999,-0.047599999999999996,0.01,-0.0455,-0.0385,0.0111,-0.057300000000000004,-0.0793,-0.0556,-0.032,0.0223,-0.0104,-0.0263,-0.0011,-0.02,-0.0109,-0.0508,-0.0264,-0.15380000000000002,-0.022000000000000002,-0.041100000000000005,-0.0516,-0.0849
1926-11,0.0635,0.0729,0.0455,0.0166,-0.057999999999999996,-0.0054,0.0187,0.0542,0.052000000000000005,0.0311,0.022000000000000002,0.038599999999999995,0.0318,0.0508,-0.0066,0.0787,0.08460000000000001,-0.0048,0.0006,0.0371,0.0163,0.0377,0.0364,0.0384,0.016,0.0467,0.0652,0.0433,0.022400000000000003,0.04
1926-12,-0.0051,-0.0409,0.0255,0.0217,0.0053,0.0256,0.006,0.0011,0.0537,0.0643,0.0352,0.0375,0.050199999999999995,-0.024700000000000003,0.10490000000000001,0.0248,0.0183,0.0143,0.0294,-0.0017000000000000001,0.0199,0.0621,0.0724,-0.0463,0.0359,0.0965,0.005699999999999999,0.0151,0.0268,-0.023399999999999997
1927-01,-0.0084,0.005699999999999999,-0.0034999999999999996,0.0187,0.0967,0.0408,-0.0106,0.050499999999999996,0.0023,-0.015,-0.0189,-0.0039000000000000003,0.011899999999999999,-0.0102,-0.008100000000000001,-0.0060999999999999995,0.0417,-0.030600000000000002,0.0167,-0.0179,0.018799999999999997,0.0208,-0.014499999999999999,-0.026000000000000002,0.0144,-0.1793,-0.027000000000000003,0.0152,-0.023799999999999998,-0.039599999999999996
1927-02,0.044199999999999996,0.1283,0.0149,0.016399999999999998,0.0141,0.045700000000000005,0.0277,0.0171,0.0969,0.0774,0.0417,0.036699999999999997,0.0785,0.043,0.0956,0.046,0.052000000000000005,0.0564,0.0113,0.0453,0.0397,0.08900000000000001,0.048499999999999995,0.0546,0.0518,0.0349,0.0347,0.06860000000000001,0.0297,0.0028000000000000004
1927-03,0.0209,-0.1356,0.055099999999999996,0.0102,-0.0028000000000000004,-0.0008,0.009000000000000001,0.0101,0.060700000000000004,-0.053899999999999997,0.0346,0.0148,-0.022400000000000003,0.004,0.015600000000000001,-0.0176,0.0444,0.0545,-0.0701,0.0037,0.0556,-0.078,0.0429,-0.0967,0.0106,-0.2047,-0.003,-0.0242,0.013600000000000001,0.0218
1927-04,0.027200000000000002,0.0285,0.0401,-0.0377,-0.0096,0.0144,0.059500000000000004,0.0274,0.029500000000000002,0.0054,-0.0095,-0.0034000000000000002,0.0182,0.0629,0.0291,-0.0075,0.0302,0.0095,-0.057800000000000004,0.0171,-0.0213,0.0344,0.031,0.0493,0.0074,-0.1075,0.0438,0.06559999999999999,0.028900000000000002,0.0527
1927-05,0.0613,0.1162,0.11800000000000001,0.0018,0.0313,0.1054,0.0337,0.0412,0.0385,0.1322,0.0751,0.0322,0.0874,0.0823,0.0554,0.11019999999999999,0.0025,0.0319,0.05,0.09210000000000002,0.0335,0.1833,0.051,0.0536,0.0692,-0.0401,0.022400000000000003,0.0462,0.1025,0.016399999999999998
1927-06,-0.0222,0.1005,-0.023,-0.0774,0.12539999999999998,-0.030299999999999997,0.011699999999999999,0.0054,-0.0172,0.0229,-0.046900000000000004,-0.0342,-0.0229,0.0347,-0.0337,-0.039,-0.019299999999999998,-0.0335,-0.031400000000000004,-0.035699999999999996,-0.021400000000000002,-0.068,0.0273,0.054400000000000004,-0.0197,-0.0418,-0.006999999999999999,0.0127,-0.0003,-0.0382
1927-07,0.0504,0.045899999999999996,0.043899999999999995,0.011399999999999999,0.0178,0.055,0.0601,0.0984,0.1769,0.0436,0.0635,0.1033,0.09609999999999999,0.1469,0.1371,0.1199,0.0872,0.0219,0.0291,0.053099999999999994,0.0373,0.0215,0.061900000000000004,0.1202,0.0602,0.11109999999999999,0.1011,0.046799999999999994,0.0659,0.0681
1927-08,0.0233,-0.0398,0.0383,0.062,0.0546,0.0052,0.015600000000000001,0.0028000000000000004,0.021,0.004699999999999999,-0.011699999999999999,0.0397,0.009000000000000001,0.0706,0.0732,0.0397,0.0097,0.024300000000000002,-0.0026,0.034300000000000004,0.0043,0.0806,0.0225,0.037599999999999995,-0.0169,-0.0258,0.0768,0.0055000000000000005,0.017,0.0592
1927-09,0.0604,0.0701,0.0463,0.0418,0.10039999999999999,0.0253,0.04650000000000001,0.0565,0.059699999999999996,0.0189,0.045599999999999995,0.0377,0.053,0.0011,0.06280000000000001,0.0373,0.0683,0.0146,0.035,0.08289999999999999,0.0653,0.0215,0.0417,0.0337,0.0431,0.055999999999999994,0.0761,0.0594,0.0617,0.0043
1927-10,-0.0246,-0.008,-0.0032,0.0026,0.0263,-0.0184,0.0965,0.0513,-0.0746,-0.026099999999999998,-0.0454,-0.0782,-0.0521,-0.08220000000000001,-0.0455,-0.06709999999999999,-0.0317,-0.0533,-0.0173,-0.0434,-0.0209,0.049699999999999994,-0.0466,0.0014000000000000002,-0.045899999999999996,-0.21780000000000002,-0.050300000000000004,-0.0175,0.040999999999999995,-0.0362
1927-11,0.0717,0.10289999999999999,0.0669,0.0358,0.16620000000000001,0.0273,0.0206,0.0368,0.0904,0.0576,0.0553,0.1244,0.115,0.11380000000000001,0.0677,0.0814,0.0824,0.0748,0.0387,0.0632,0.028300000000000002,0.023,0.09380000000000001,0.16870000000000002,0.0391,-0.013000000000000001,0.1211,0.0301,0.08,0.1119
1927-12,0.0353,0.1272,0.0103,0.0281,0.0327,0.10310000000000001,-0.0015,-0.0046,-0.0023,0.026699999999999998,0.0005,0.0584,0.0292,0.011899999999999999,0.0767,0.0276,0.1343,-0.0333,0.0128,0.022400000000000003,0.013300000000000001,-0.0783,0.013000000000000001,0.0104,0.001,0.11449999999999999,-0.0066,-0.015600000000000001,0.1108,0.010700000000000001
1928-01,0.0254,0.0062,-0.0256,-0.0037,0.0516,0.036699999999999997,0.0707,0.0269,-0.0108,-0.011000000000000001,0.0184,-0.0242,-0.0124,-0.0101,-0.0315,0.04190000000000001,-0.0166,-0.0379,-0.0169,0.0587,0.003,0.005600000000000001,0.0118,0.0151,-0.0123,-0.0095,-0.0085,-0.0158,0.014499999999999999,-0.0338
1928-02,-0.0296,-0.052199999999999996,-0.059699999999999996,-0.0089,-0.0175,-0.0001,-0.0245,-0.0138,0.0073,-0.053099999999999994,0.0158,-0.027200000000000002,-0.0276,-0.0146,0.009399999999999999,-0.046,-0.0759,-0.013300000000000001,-0.0012,-0.0068000000000000005,-0.003,-0.0052,0.0202,0.0086,-0.013500000000000002,-0.08289999999999999,-0.0104,-0.0259,-0.0279,-0.0268
1928-03,0.051100000000000007,0.1447,0.023399999999999997,0.0882,0.0526,0.0999,0.039900000000000005,0.1054,0.1316,0.0873,0.0659,0.0616,0.065,0.26170000000000004,0.2786,0.0653,0.0737,0.052300000000000006,0.0533,0.0662,0.0196,-0.024399999999999998,0.0323,0.1108,0.057800000000000004,0.0812,0.08689999999999999,0.0347,0.09570000000000001,0.0885
1928-04,0.0269,0.0487,-0.059500000000000004,0.054000000000000006,0.21230000000000002,0.0359,0.09960000000000001,0.0235,-0.0026,-0.0441,0.028999999999999998,0.0143,0.0348,0.024399999999999998,0.0109,0.022799999999999997,-0.005699999999999999,0.0195,0.1625,0.1094,0.0322,0.0242,0.016,-0.0025,0.0437,-0.058499999999999996,-0.0003,0.004699999999999999,0.08869999999999999,0.10949999999999999
1928-05,0.016,0.0548,-0.0003,0.018500000000000003,0.17679999999999998,-0.0252,-0.009899999999999999,0.09269999999999999,0.0298,-0.0636,-0.0043,0.0552,0.0479,0.0176,0.059000000000000004,-0.0163,0.0116,0.0049,-0.0572,0.0151,0.0661,0.0078000000000000005,0.0388,0.0613,-0.0046,0.0795,0.0344,0.1412,0.022799999999999997,-0.008
1928-06,-0.0393,-0.0421,-0.043,-0.050499999999999996,-0.10779999999999999,-0.0667,-0.0713,-0.0315,-0.029500000000000002,-0.10980000000000001,-0.038599999999999995,-0.0584,-0.0319,-0.0571,-0.0407,-0.058499999999999996,-0.0356,-0.0608,-0.0391,-0.034300000000000004,-0.052199999999999996,-0.0525,-0.030600000000000002,-0.0574,-0.0384,-0.0741,-0.034,-0.0281,-0.09910000000000001,-0.1195
1928-07,0.0106,0.006999999999999999,0.0335,0.015600000000000001,0.0113,0.0068000000000000005,0.0053,0.0239,0.0182,-0.037000000000000005,0.0192,0.0274,0.0040999999999999995,-0.0101,0.0128,-0.0155,-0.0124,-0.0102,0.0118,-0.0124,-0.0128,-0.049400000000000006,0.053399999999999996,0.0434,-0.0034999999999999996,0.0034999999999999996,0.0572,-0.006,0.0029,-0.008
1928-08,0.0785,0.124,0.0379,0.09480000000000001,0.06480000000000001,0.0955,0.0018,0.1457,0.0889,0.0197,0.0438,0.09630000000000001,0.0758,0.12300000000000001,0.091,0.0594,0.0818,0.0184,0.024399999999999998,0.0646,0.0455,0.1516,0.0301,0.12689999999999999,0.04019999999999999,0.0406,0.1369,0.12369999999999999,0.052300000000000006,0.1278
1928-09,0.0174,0.0026,-0.0039000000000000003,0.11019999999999999,-0.0236,0.1047,-0.0113,-0.011399999999999999,0.0377,0.0358,0.053,0.0558,0.0382,0.0027,0.08220000000000001,-0.0044,0.0301,-0.0106,0.0574,0.037599999999999995,0.0015,-0.0017000000000000001,0.0181,-0.016200000000000003,0.0028000000000000004,0.0105,0.0016,-0.0002,0.12140000000000001,-0.0406
1928-10,-0.004699999999999999,0.0404,0.0344,-0.0121,0.0562,0.0815,-0.0355,0.0005,0.052300000000000006,0.059699999999999996,0.059000000000000004,0.06509999999999999,0.0213,0.021,-0.0004,-0.013000000000000001,0.0342,-0.0169,0.0226,-0.0189,0.0297,0.052199999999999996,0.0113,-0.0547,-0.013000000000000001,0.1825,0.061,-0.0219,0.026000000000000002,-0.0521
1928-11,0.0662,0.057,0.0679,0.10400000000000001,0.0101,0.16579999999999998,0.0256,0.050499999999999996,0.12390000000000001,0.091,0.09300000000000001,0.149,0.1578,0.235,0.047,0.1013,0.15109999999999998,0.0632,0.17850000000000002,0.2193,0.0668,0.1777,0.08220000000000001,0.051,0.0935,0.1195,0.1552,0.0951,0.1,0.0377
1928-12,0.005600000000000001,-0.0384,-0.0192,-0.0066,-0.0049,-0.0363,-0.0038,-0.0040999999999999995,0.0233,-0.0588,0.0109,0.0384,0.033,0.0703,-0.0002,0.013300000000000001,0.0196,-0.0058,-0.0455,0.015700000000000002,-0.0038,-0.07629999999999999,0.07490000000000001,0.0171,0.0025,-0.0385,-0.0124,-0.031,0.011699999999999999,-0.1259
